Fiscal Year,Library,County,AENGLC Rank,Population of Service Area,Total Library Visits,Library Visits Per Capita Served,Total Registered Borrowers,Percent of Residents with Library Cards,Reference Questions,Reference Questions Per Capita Served,Total Circulation,Circulation Per Capita Served,Total Programs (Synchronous + Prerecorded),Total Program Attendance & Views,Total Program Attendance & Views Per Capita Served,Use of Public Internet Computers,Total Collection,Collection Per Capita Served,Total Operating Income,Operating Income Per Capita,Town Tax Appropriation for Library,Tax Appropriation Per Capita Served,Library Materials Expenditures,Wages & Salaries Expenditures,Operating Expenditures,Operating Expenditures Per Capita
1996,Bolton - Bentley,Tolland,93,4792,15600,3.3,3575,0.75,784,0.2,43919,8.1,141,1801,0.4,,33141,6.9,147439,30.77,150757,31.46,24547,99110,150407,31.4
1996,Branford - Blackstone,New Haven,53,28043,650000,23.2,23305,0.83,54000,1.9,154942,5,351,5967,0.2,,91927,3.3,621874,22.18,443745,15.82,59977,381143,518961,18.5
1996,Branford - Willoughby,New Haven,53,,6000,0.2,2500,0.09,3000,0.1,41688,1.3,30,1800,0.1,,31210,1.1,108198,3.86,88957,3.17,20000,58214,102664,3.7
1996,Bridgeport,Fairfield,168,136817,278032,2,45448,0.33,164721,1.2,348993,2.4,392,7509,0.1,,487537,3.6,3009981,22,2926824,21.39,388006,1877779,2673565,19.5
1996,Bridgewater - Burnham,Litchfield,21,1724,14127,8.2,841,0.49,,,21751,12,78,4796,2.8,,30897,17.9,80676,46.8,46500,26.97,13844,49708,69621,40.4
1996,Bristol,Hartford,136,59658,105925,1.8,19974,0.33,20828,0.3,311762,4.9,477,13389,0.2,,139195,2.3,1202928,20.16,1090195,18.27,139156,756008,1039052,17.4
1996,Brookfield,Fairfield,38,14691,113765,7.7,6818,0.46,14716,1,145604,9.2,177,5737,0.4,,59060,4,360844,24.56,330750,22.51,69523,220873,335795,22.9
1996,Brooklyn,Windham,149,6642,14040,2.1,2492,0.38,1500,0.2,27209,4.1,18,647,0.1,,19047,2.9,74007,11.14,63685,9.59,16738,31033,62812,9.5
1996,Burlington,Hartford,71,7656,28425,3.7,2691,0.35,960,0.1,45574,5.7,79,1561,0.2,,28644,3.7,116564,15.23,111275,14.53,20149,75091,104875,13.7
1996,Canaan - David Hunt,Litchfield,40,1272,14456,11.4,667,0.52,,,15724,10.3,144,1757,1.4,,25680,20.2,71512,56.22,25000,19.65,5912,26784,42505,33.4
